敵編成ID,敵艦隊名,海域,海域,セル,難易度,陣形,敵1番艦,敵2番艦,敵3番艦,敵4番艦,敵5番艦,敵6番艦,敵1番艦名,敵2番艦名,敵3番艦名,敵4番艦名,敵5番艦名,敵6番艦名,経験値
283716643,敵巡洋艦隊,2,3,5,なし,複縦陣,522,509,507,506,503,503,重巡リ級 elite,重巡リ級,軽巡ト級,軽巡ヘ級,駆逐ハ級,駆逐ハ級,200
3861227799,敵強襲揚陸艦隊,2,3,9,なし,輪形陣,512,511,510,510,513,513,空母ヲ級,戦艦ル級,軽母ヌ級,軽母ヌ級,輸送ワ級,輸送ワ級,200
1274446900,敵強襲揚陸艦隊,2,3,10,なし,複縦陣,509,510,510,506,513,513,重巡リ級,軽母ヌ級,軽母ヌ級,軽巡ヘ級,輸送ワ級,輸送ワ級,200
52127808,敵強襲揚陸艦隊,2,3,10,なし,単縦陣,511,510,510,509,513,513,戦艦ル級,軽母ヌ級,軽母ヌ級,重巡リ級,輸送ワ級,輸送ワ級,200
280559734,敵主力打撃群,2,3,11,なし,複縦陣,524,511,512,509,506,506,戦艦ル級 elite,戦艦ル級,空母ヲ級,重巡リ級,軽巡ヘ級,軽巡ヘ級,200
767073237,敵主力打撃群,2,3,11,なし,単縦陣,525,512,511,509,509,504,空母ヲ級 elite,空母ヲ級,戦艦ル級,重巡リ級,重巡リ級,駆逐ニ級,200
216560690,敵巡洋艦隊,2,4,1,なし,単横陣,509,521,521,507,503,503,重巡リ級,雷巡チ級 elite,雷巡チ級 elite,軽巡ト級,駆逐ハ級,駆逐ハ級,300
350318307,敵巡洋艦隊,2,4,1,なし,単縦陣,522,521,508,508,503,503,重巡リ級 elite,雷巡チ級 elite,雷巡チ級,雷巡チ級,駆逐ハ級,駆逐ハ級,300
3330031737,敵巡洋艦隊,2,4,1,なし,複縦陣,522,522,509,509,504,504,重巡リ級 elite,重巡リ級 elite,重巡リ級,重巡リ級,駆逐ニ級,駆逐ニ級,300
4252657786,敵水上打撃艦隊,2,4,3,なし,梯形陣,511,509,507,520,516,516,戦艦ル級,重巡リ級,軽巡ト級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
4187071583,敵水上打撃艦隊,2,4,3,なし,単縦陣,511,509,509,520,516,516,戦艦ル級,重巡リ級,重巡リ級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
285547134,敵水上打撃艦隊,2,4,3,なし,単縦陣,511,511,509,509,516,516,戦艦ル級,戦艦ル級,重巡リ級,重巡リ級,駆逐ハ級 elite,駆逐ハ級 elite,300
4267767268,敵水上打撃艦隊,2,4,5,なし,梯形陣,511,509,507,520,516,516,戦艦ル級,重巡リ級,軽巡ト級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
1833910272,敵水上打撃艦隊,2,4,5,なし,単縦陣,511,509,509,520,516,516,戦艦ル級,重巡リ級,重巡リ級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
1859901466,敵水上打撃艦隊,2,4,5,なし,単縦陣,511,511,509,509,516,516,戦艦ル級,戦艦ル級,重巡リ級,重巡リ級,駆逐ハ級 elite,駆逐ハ級 elite,300
1793076225,敵空母機動部隊,2,4,6,なし,複縦陣,512,512,523,523,527,516,空母ヲ級,空母ヲ級,軽母ヌ級 elite,軽母ヌ級 elite,重巡リ級 flagship,駆逐ハ級 elite,300
2971288258,敵水上打撃艦隊,2,4,8,なし,梯形陣,511,509,507,520,516,516,戦艦ル級,重巡リ級,軽巡ト級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
2994571100,敵水上打撃艦隊,2,4,8,なし,単縦陣,511,509,509,520,516,516,戦艦ル級,重巡リ級,重巡リ級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
3017515740,敵水上打撃艦隊,2,4,8,なし,単縦陣,511,511,509,509,516,516,戦艦ル級,戦艦ル級,重巡リ級,重巡リ級,駆逐ハ級 elite,駆逐ハ級 elite,300
3411792196,敵空母機動部隊,2,4,10,なし,複縦陣,512,512,523,523,527,516,空母ヲ級,空母ヲ級,軽母ヌ級 elite,軽母ヌ級 elite,重巡リ級 flagship,駆逐ハ級 elite,300
3463676847,敵空母機動部隊,2,4,10,なし,複縦陣,528,525,511,520,516,516,空母ヲ級 flagship,空母ヲ級 elite,戦艦ル級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
1087327781,敵空母機動部隊,2,4,13,なし,複縦陣,528,525,511,520,516,516,空母ヲ級 flagship,空母ヲ級 elite,戦艦ル級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
3834442709,敵空母機動部隊,2,4,13,なし,複縦陣,528,525,525,511,517,517,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級,駆逐ニ級 elite,駆逐ニ級 elite,300
568591492,敵精鋭水雷戦隊,2,4,14,なし,単縦陣,527,521,508,517,504,504,重巡リ級 flagship,雷巡チ級 elite,雷巡チ級,駆逐ニ級 elite,駆逐ニ級,駆逐ニ級,300
1432940769,敵精鋭水雷戦隊,2,4,14,なし,単縦陣,527,522,521,521,517,517,重巡リ級 flagship,重巡リ級 elite,雷巡チ級 elite,雷巡チ級 elite,駆逐ニ級 elite,駆逐ニ級 elite,300
678546113,敵空母機動部隊,2,4,15,なし,複縦陣,512,512,523,523,527,516,空母ヲ級,空母ヲ級,軽母ヌ級 elite,軽母ヌ級 elite,重巡リ級 flagship,駆逐ハ級 elite,300
282034402,敵空母機動部隊,2,4,15,なし,複縦陣,528,525,511,520,516,516,空母ヲ級 flagship,空母ヲ級 elite,戦艦ル級,軽巡ト級 elite,駆逐ハ級 elite,駆逐ハ級 elite,300
2553013027,敵空母機動部隊,2,4,15,なし,複縦陣,528,525,525,511,517,517,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級,駆逐ニ級 elite,駆逐ニ級 elite,300
668709314,敵侵攻中核艦隊,2,4,17,なし,単縦陣,529,524,511,521,517,517,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級,雷巡チ級 elite,駆逐ニ級 elite,駆逐ニ級 elite,300
581830535,敵侵攻中核艦隊,2,4,17,なし,単縦陣,529,524,511,522,517,517,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級,重巡リ級 elite,駆逐ニ級 elite,駆逐ニ級 elite,300
240563751,敵侵攻中核艦隊,2,4,17,なし,単縦陣,529,524,524,511,517,517,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級 elite,戦艦ル級,駆逐ニ級 elite,駆逐ニ級 elite,300
3543821283,敵侵攻中核艦隊,2,4,18,なし,単縦陣,529,524,511,521,517,517,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級,雷巡チ級 elite,駆逐ニ級 elite,駆逐ニ級 elite,300
2241339571,敵侵攻中核艦隊,2,4,18,なし,単縦陣,529,524,524,511,517,517,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級 elite,戦艦ル級,駆逐ニ級 elite,駆逐ニ級 elite,300
1207311141,敵水雷戦隊,2,5,1,なし,単縦陣,555,552,552,521,514,514,軽巡ヘ級 flagship,駆逐ロ級 flagship,駆逐ロ級 flagship,雷巡チ級 elite,駆逐イ級 elite,駆逐イ級 elite,250
3390266320,敵水雷戦隊,2,5,1,なし,単縦陣,555,559,559,552,514,514,軽巡ヘ級 flagship,雷巡チ級 flagship,雷巡チ級 flagship,駆逐ロ級 flagship,駆逐イ級 elite,駆逐イ級 elite,250
2291308637,敵前衛艦隊,2,5,2,なし,単縦陣,555,522,522,553,515,515,軽巡ヘ級 flagship,重巡リ級 elite,重巡リ級 elite,駆逐ハ級 flagship,駆逐ロ級 elite,駆逐ロ級 elite,250
2647797269,敵巡洋艦隊,2,5,5,なし,単縦陣,527,522,522,555,516,516,重巡リ級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ヘ級 flagship,駆逐ハ級 elite,駆逐ハ級 elite,250
3981919712,敵巡洋艦隊,2,5,5,なし,単縦陣,566,522,522,555,516,516,重巡リ級改 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ヘ級 flagship,駆逐ハ級 elite,駆逐ハ級 elite,250
4028930753,敵水上打撃部隊,2,5,6,なし,単縦陣,529,522,559,559,517,517,戦艦ル級 flagship,重巡リ級 elite,雷巡チ級 flagship,雷巡チ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,250
3236036956,敵水上打撃部隊,2,5,6,なし,複縦陣,529,522,559,559,517,517,戦艦ル級 flagship,重巡リ級 elite,雷巡チ級 flagship,雷巡チ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,250
1464885807,敵主力艦隊,2,5,12,なし,単縦陣,543,524,524,555,517,517,戦艦タ級 flagship,戦艦ル級 elite,戦艦ル級 elite,軽巡ヘ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,250
1320198054,敵主力艦隊,2,5,12,なし,単縦陣,543,529,524,522,517,517,戦艦タ級 flagship,戦艦ル級 flagship,戦艦ル級 elite,重巡リ級 elite,駆逐ニ級 elite,駆逐ニ級 elite,250
648071495,敵前衛艦隊,3,3,1,なし,単縦陣,555,518,518,515,514,514,軽巡ヘ級 flagship,軽巡ホ級 elite,軽巡ホ級 elite,駆逐ロ級 elite,駆逐イ級 elite,駆逐イ級 elite,330
2797475756,敵前衛艦隊,3,3,1,なし,複縦陣,555,520,520,518,515,515,軽巡ヘ級 flagship,軽巡ト級 elite,軽巡ト級 elite,軽巡ホ級 elite,駆逐ロ級 elite,駆逐ロ級 elite,330
3166583471,敵前衛艦隊,3,3,1,なし,単縦陣,555,522,520,521,515,515,軽巡ヘ級 flagship,重巡リ級 elite,軽巡ト級 elite,雷巡チ級 elite,駆逐ロ級 elite,駆逐ロ級 elite,330
1269883655,敵護衛空母群,3,3,3,なし,単縦陣,523,523,523,527,552,516,軽母ヌ級 elite,軽母ヌ級 elite,軽母ヌ級 elite,重巡リ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,330
547884230,敵護衛空母群,3,3,3,なし,単縦陣,523,523,523,554,516,516,軽母ヌ級 elite,軽母ヌ級 elite,軽母ヌ級 elite,軽巡ホ級 flagship,駆逐ハ級 elite,駆逐ハ級 elite,330
3626220543,敵護衛空母群,3,3,3,なし,梯形陣,523,523,523,554,517,517,軽母ヌ級 elite,軽母ヌ級 elite,軽母ヌ級 elite,軽巡ホ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,330
3202745036,敵空母機動部隊,3,3,7,なし,複縦陣,528,523,523,524,552,517,空母ヲ級 flagship,軽母ヌ級 elite,軽母ヌ級 elite,戦艦ル級 elite,駆逐ロ級 flagship,駆逐ニ級 elite,330
3411417950,敵空母機動部隊,3,3,7,なし,複縦陣,528,525,523,524,519,553,空母ヲ級 flagship,空母ヲ級 elite,軽母ヌ級 elite,戦艦ル級 elite,軽巡ヘ級 elite,駆逐ハ級 flagship,330
4290792538,敵空母機動部隊,3,3,7,なし,複縦陣,528,525,523,524,554,517,空母ヲ級 flagship,空母ヲ級 elite,軽母ヌ級 elite,戦艦ル級 elite,軽巡ホ級 flagship,駆逐ニ級 elite,330
2425041660,深海棲艦泊地艦隊,3,3,11,なし,単縦陣,525,525,529,554,517,516,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,軽巡ホ級 flagship,駆逐ニ級 elite,駆逐ハ級 elite,330
1163366728,深海棲艦泊地艦隊,3,3,11,なし,複縦陣,525,525,529,555,517,517,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,軽巡ヘ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,330
2568909990,深海棲艦泊地艦隊,3,3,11,なし,単縦陣,528,525,529,555,520,517,空母ヲ級 flagship,空母ヲ級 elite,戦艦ル級 flagship,軽巡ヘ級 flagship,軽巡ト級 elite,駆逐ニ級 elite,330
4043564991,敵空母機動部隊,3,3,12,なし,複縦陣,528,523,523,524,552,517,空母ヲ級 flagship,軽母ヌ級 elite,軽母ヌ級 elite,戦艦ル級 elite,駆逐ロ級 flagship,駆逐ニ級 elite,330
1974849312,敵空母機動部隊,3,3,12,なし,複縦陣,528,525,523,524,519,553,空母ヲ級 flagship,空母ヲ級 elite,軽母ヌ級 elite,戦艦ル級 elite,軽巡ヘ級 elite,駆逐ハ級 flagship,330
1673178799,敵空母機動部隊,3,3,12,なし,複縦陣,528,525,523,524,554,517,空母ヲ級 flagship,空母ヲ級 elite,軽母ヌ級 elite,戦艦ル級 elite,軽巡ホ級 flagship,駆逐ニ級 elite,330
168651939,深海棲艦泊地艦隊,3,3,13,なし,単縦陣,525,525,529,554,517,516,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,軽巡ホ級 flagship,駆逐ニ級 elite,駆逐ハ級 elite,330
928823074,深海棲艦泊地艦隊,3,3,13,なし,複縦陣,525,525,529,555,517,517,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,軽巡ヘ級 flagship,駆逐ニ級 elite,駆逐ニ級 elite,330
4143336126,深海棲艦泊地艦隊,3,3,13,なし,単縦陣,528,525,529,555,520,517,空母ヲ級 flagship,空母ヲ級 elite,戦艦ル級 flagship,軽巡ヘ級 flagship,軽巡ト級 elite,駆逐ニ級 elite,330
3579947975,敵哨戒艦隊,3,4,1,なし,複縦陣,527,522,520,520,517,517,重巡リ級 flagship,重巡リ級 elite,軽巡ト級 elite,軽巡ト級 elite,駆逐ニ級 elite,駆逐ニ級 elite,350
2171382390,敵哨戒艦隊,3,4,1,なし,単横陣,554,519,519,516,516,516,軽巡ホ級 flagship,軽巡ヘ級 elite,軽巡ヘ級 elite,駆逐ハ級 elite,駆逐ハ級 elite,駆逐ハ級 elite,350
449643617,敵哨戒艦隊,3,4,1,なし,単縦陣,555,521,521,521,515,515,軽巡ヘ級 flagship,雷巡チ級 elite,雷巡チ級 elite,雷巡チ級 elite,駆逐ロ級 elite,駆逐ロ級 elite,350
135542796,敵哨戒艦隊,3,4,2,なし,複縦陣,527,522,520,520,517,517,重巡リ級 flagship,重巡リ級 elite,軽巡ト級 elite,軽巡ト級 elite,駆逐ニ級 elite,駆逐ニ級 elite,350
3426123951,敵哨戒艦隊,3,4,2,なし,単横陣,554,519,519,516,516,516,軽巡ホ級 flagship,軽巡ヘ級 elite,軽巡ヘ級 elite,駆逐ハ級 elite,駆逐ハ級 elite,駆逐ハ級 elite,350
1881067484,敵哨戒艦隊,3,4,2,なし,単縦陣,555,521,521,521,515,515,軽巡ヘ級 flagship,雷巡チ級 elite,雷巡チ級 elite,雷巡チ級 elite,駆逐ロ級 elite,駆逐ロ級 elite,350
3537221124,敵前衛艦隊,3,4,4,なし,単縦陣,529,522,522,554,552,516,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ホ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
3313751963,敵前衛艦隊,3,4,4,なし,単縦陣,529,524,525,555,552,516,戦艦ル級 flagship,戦艦ル級 elite,空母ヲ級 elite,軽巡ヘ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
1444585580,敵前衛艦隊,3,4,5,なし,単縦陣,529,522,522,554,552,516,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ホ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
2027970469,敵前衛艦隊,3,4,5,なし,単縦陣,529,524,525,555,552,516,戦艦ル級 flagship,戦艦ル級 elite,空母ヲ級 elite,軽巡ヘ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
4046983224,敵前衛艦隊,3,4,6,なし,単縦陣,529,522,522,554,552,516,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ホ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
3431789267,敵前衛艦隊,3,4,6,なし,単縦陣,529,524,525,555,552,516,戦艦ル級 flagship,戦艦ル級 elite,空母ヲ級 elite,軽巡ヘ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
1799268831,敵前衛艦隊,3,4,6,なし,梯形陣,529,554,523,523,552,516,戦艦ル級 flagship,軽巡ホ級 flagship,軽母ヌ級 elite,軽母ヌ級 elite,駆逐ロ級 flagship,駆逐ハ級 elite,350
699328535,深海棲艦水上打撃艦隊,3,4,10,なし,複縦陣,529,529,522,522,553,516,戦艦ル級 flagship,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,駆逐ハ級 flagship,駆逐ハ級 elite,350
1283694885,深海棲艦水上打撃艦隊,3,4,10,なし,複縦陣,529,529,524,524,554,553,戦艦ル級 flagship,戦艦ル級 flagship,戦艦ル級 elite,戦艦ル級 elite,軽巡ホ級 flagship,駆逐ハ級 flagship,350
3456442444,深海棲艦泊地防衛艦隊,3,4,11,なし,単縦陣,528,525,525,529,552,552,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,駆逐ロ級 flagship,駆逐ロ級 flagship,350
1250335501,深海棲艦泊地防衛艦隊,3,4,11,なし,単縦陣,528,525,525,529,553,517,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,駆逐ハ級 flagship,駆逐ニ級 elite,350
3743327802,深海棲艦泊地防衛艦隊,3,4,12,なし,単縦陣,528,525,525,529,555,517,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,軽巡ヘ級 flagship,駆逐ニ級 elite,350
1931117918,深海棲艦泊地防衛艦隊,3,4,13,なし,単縦陣,528,525,525,529,552,552,空母ヲ級 flagship,空母ヲ級 elite,空母ヲ級 elite,戦艦ル級 flagship,駆逐ロ級 flagship,駆逐ロ級 flagship,350
610144849,深海棲艦北方艦隊中枢,3,4,15,なし,単縦陣,528,528,529,524,554,521,空母ヲ級 flagship,空母ヲ級 flagship,戦艦ル級 flagship,戦艦ル級 elite,軽巡ホ級 flagship,雷巡チ級 elite,350
489924138,敵前衛艦隊,3,4,16,なし,単縦陣,529,522,522,554,552,516,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ホ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
3069680455,敵前衛艦隊,3,4,17,なし,単縦陣,529,522,522,554,552,516,戦艦ル級 flagship,重巡リ級 elite,重巡リ級 elite,軽巡ホ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
2659536598,敵前衛艦隊,3,4,17,なし,単縦陣,529,524,525,555,552,516,戦艦ル級 flagship,戦艦ル級 elite,空母ヲ級 elite,軽巡ヘ級 flagship,駆逐ロ級 flagship,駆逐ハ級 elite,350
